row_type	claim_id	title	plan_reference	plan_lines	backlog_priority	plan_critical	replacement_status	source_ids	source_statuses	source_urls	saved_artifacts	provenance_notes	gaps_or_caveats	review_decision
claim	R2.4	SQLite-WAL source-of-truth state decision	private_plan_anchor	73-81, 889		yes	adequate_primary_url	sqlite-wal	primary_url_confirmed	https://sqlite.org/wal.html		provenance/protocol-runtime.md	Manual references support source-refresh only; no product implementation started.	represented_no_none
claim	R2.5	Protocol alignment baseline	private_plan_anchor	83-97		yes	adequate_primary_urls_with_optional_ports	a2a-latest-spec; mcp-released-spec; ag-ui-events; ag-ui-interrupts; ag-ui-core-events-reference; ag-ui-core-types-reference; a2a-v1-announcement; a2a-agent-discovery; a2a-definitions; mcp-security-best-practices; mcp-authorization-draft; owasp-secure-mcp-server-guide; owasp-third-party-mcp-cheatsheet; mcp-released-authorization; mcp-released-auth-security	draft_or_advisory; primary_url_confirmed	https://a2a-protocol.org/latest/specification/; https://modelcontextprotocol.io/specification/2025-11-25; https://docs.ag-ui.com/concepts/events; https://docs.ag-ui.com/concepts/interrupts; https://docs.ag-ui.com/sdk/js/core/events; https://docs.ag-ui.com/sdk/js/core/types; https://a2a-protocol.org/latest/announcing-1.0/; https://a2a-protocol.org/latest/topics/agent-discovery/; https://a2a-protocol.org/latest/definitions/; https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices; https://modelcontextprotocol.io/specification/draft/basic/authorization; https://genai.owasp.org/resource/a-practical-guide-for-secure-mcp-server-development/; https://genai.owasp.org/resource/cheatsheet-a-practical-guide-for-securely-using-third-party-mcp-servers-1-0/; https://modelcontextprotocol.io/specification/2025-11-25/basic/authorization; https://modelcontextprotocol.io/specification/2025-11-25/basic/authorization/security-considerations		provenance/owasp-agentic-agentdojo.md; provenance/protocol-runtime.md	MCP/A2A/AG-UI are alignment baselines, not mandatory core dependencies.	represented_no_none
claim	R2.6	Same-host concurrency and A2A export handoff boundary	private_plan_anchor	99-108		yes	adequate_primary_urls	a2a-latest-spec; sqlite-wal; a2a-v1-announcement; a2a-agent-discovery; a2a-definitions	primary_url_confirmed	https://a2a-protocol.org/latest/specification/; https://sqlite.org/wal.html; https://a2a-protocol.org/latest/announcing-1.0/; https://a2a-protocol.org/latest/topics/agent-discovery/; https://a2a-protocol.org/latest/definitions/		provenance/protocol-runtime.md	SQLite WAL plus A2A docs support the local-vs-remote split.	represented_no_none
claim	R2.10	Standards pinning and mature OSS-before-bespoke gate	private_plan_anchor	117-124		yes	adequate_saved_and_primary_urls	cyclonedx-mlbom; cyclonedx-aimlbom-guide; spdx-ai-profile; sigstore-cosign-attestation; slsa-v1-2; intoto-attestation-spec; syft-docs; grype-docs; scorecard-checks; spdx-3-0-1-pdf; openai-codex-skills; openai-tools-skills-api; openai-skills-api-cookbook; otel-genai-repo; otel-genai-readme; cyclonedx-bom-1-7-schema; spdx-3-model-readme; syft-scan-targets; syft-output-formats; grype-scan-targets; grype-data-sources; grype-db-architecture; scorecard-probes	development_status_primary; primary_model_repo_confirmed; primary_schema_confirmed; primary_url_confirmed; saved_pdf	https://cyclonedx.org/capabilities/mlbom/; https://cyclonedx.org/guides/OWASP_CycloneDX-Authoritative-Guide-to-AI-ML-BOM-en.pdf; https://spdx.dev/learn/areas-of-interest/ai/; https://docs.sigstore.dev/cosign/verifying/attestation/; https://slsa.dev/spec/v1.2/; https://github.com/in-toto/attestation/blob/main/spec/README.md; https://oss.anchore.com/docs/guides/sbom/getting-started/; https://oss.anchore.com/docs/guides/vulnerability/getting-started/; https://github.com/ossf/scorecard/blob/main/docs/checks.md; https://spdx.dev/wp-content/uploads/sites/31/2024/12/SPDX-3.0.1-1.pdf; https://developers.openai.com/codex/skills; https://developers.openai.com/api/docs/guides/tools-skills; https://developers.openai.com/cookbook/examples/skills_in_api; https://github.com/open-telemetry/semantic-conventions-genai; https://github.com/open-telemetry/semantic-conventions-genai/blob/main/docs/gen-ai/README.md; https://raw.githubusercontent.com/CycloneDX/specification/master/schema/bom-1.7.schema.json; https://raw.githubusercontent.com/spdx/spdx-3-model/develop/README.md; https://oss.anchore.com/docs/guides/sbom/scan-targets/; https://oss.anchore.com/docs/guides/sbom/formats/; https://oss.anchore.com/docs/guides/vulnerability/scan-targets/; https://oss.anchore.com/docs/reference/grype/data-sources/; https://oss.anchore.com/docs/architecture/grype-db/; https://github.com/ossf/scorecard/blob/main/docs/probes.md	sources/cyclonedx-authoritative-guide-ai-ml-bom.pdf; sources/spdx-3.0.1-specification.pdf	provenance/cyclonedx-spdx.md; provenance/protocol-runtime.md; provenance/supply-chain-runtime.md	Includes CycloneDX/SPDX, Sigstore/SLSA/in-toto, Syft/Grype/Scorecard, Agent Skills, OTel caveat.	represented_no_none
claim	R2.11	Sandbox/runtime source gate	private_plan_anchor	60, 786, 801		yes	adequate_primary_urls	wasmtime-security; wasi-capability-model; wasmtime-wasi-capabilities	primary_url_confirmed	https://docs.wasmtime.dev/security.html; https://wasi.dev/; https://github.com/bytecodealliance/wasmtime/blob/main/docs/WASI-capabilities.md		provenance/supply-chain-runtime.md	Wasmtime/WASI sources cover capability-based sandbox references.	represented_no_none
claim	R2.12	Security source gate	private_plan_anchor	23-27, 25, 117-124, 801		yes	adequate_with_manual_provenance_required	nsa-mcp-security-press; nsa-mcp-security-pdf; cisa-ai-landing; ncsc-secure-ai-collection; ncsc-secure-ai-pdf; owasp-agentic-top10-2026; owasp-aiuc-crosswalk; agentdojo-repo; agentdojo-paper; cyclonedx-mlbom; cyclonedx-aimlbom-guide; spdx-ai-profile; sigstore-cosign-attestation; slsa-v1-2; intoto-attestation-spec; syft-docs; grype-docs; scorecard-checks; wasmtime-security; wasi-capability-model; spdx-3-0-1-pdf; mcp-released-spec; mcp-security-best-practices; mcp-authorization-draft; agentdyn-paper; agentdyn-repo; owasp-secure-mcp-server-guide; owasp-third-party-mcp-cheatsheet; owasp-aiuc-crosswalk-download; owasp-aivss-crosswalk-file; owasp-aivss-crosswalk-dashboard; mcp-released-authorization; mcp-released-auth-security; cyclonedx-bom-1-7-schema; syft-scan-targets; syft-output-formats; grype-scan-targets; grype-data-sources; grype-db-architecture; scorecard-probes; wasmtime-wasi-capabilities	draft_or_advisory; manual_provenance_required; primary_schema_confirmed; primary_url_confirmed; related_primary_url_confirmed; saved_pdf	https://www.nsa.gov/Press-Room/Press-Releases-Statements/Press-Release-View/Article/4496698/nsa-releases-security-design-considerations-for-ai-driven-automation-leveraging/; https://www.nsa.gov/Portals/75/documents/Cybersecurity/CSI_MCP_SECURITY.pdf?ver=bmgiSbNQLP6Z_GiWtRt6bg%3D%3D; https://www.cisa.gov/ai; https://www.ncsc.gov.uk/collection/guidelines-secure-ai-system-development; https://www.ncsc.gov.uk/files/Guidelines-for-secure-AI-system-development.pdf; https://genai.owasp.org/resource/owasp-top-10-for-agentic-applications-for-2026/; https://genai.owasp.org/resource/aiuc-1-crosswalks-owasp-top-10-for-agentic-applications/; https://github.com/ethz-spylab/agentdojo; https://arxiv.org/abs/2406.13352; https://cyclonedx.org/capabilities/mlbom/; https://cyclonedx.org/guides/OWASP_CycloneDX-Authoritative-Guide-to-AI-ML-BOM-en.pdf; https://spdx.dev/learn/areas-of-interest/ai/; https://docs.sigstore.dev/cosign/verifying/attestation/; https://slsa.dev/spec/v1.2/; https://github.com/in-toto/attestation/blob/main/spec/README.md; https://oss.anchore.com/docs/guides/sbom/getting-started/; https://oss.anchore.com/docs/guides/vulnerability/getting-started/; https://github.com/ossf/scorecard/blob/main/docs/checks.md; https://docs.wasmtime.dev/security.html; https://wasi.dev/; https://spdx.dev/wp-content/uploads/sites/31/2024/12/SPDX-3.0.1-1.pdf; https://modelcontextprotocol.io/specification/2025-11-25; https://modelcontextprotocol.io/docs/tutorials/security/security_best_practices; https://modelcontextprotocol.io/specification/draft/basic/authorization; https://arxiv.org/abs/2602.03117; https://github.com/SaFo-Lab/AgentDyn; https://genai.owasp.org/resource/a-practical-guide-for-secure-mcp-server-development/; https://genai.owasp.org/resource/cheatsheet-a-practical-guide-for-securely-using-third-party-mcp-servers-1-0/; https://genai.owasp.org/download/54627/?tmstv=1779726713; https://github.com/OWASP/www-project-artificial-intelligence-vulnerability-scoring-system/blob/main/aiuc-aivss-crosswalk.md; https://aivss.owasp.org/aiuc-crosswalk/index.html; https://modelcontextprotocol.io/specification/2025-11-25/basic/authorization; https://modelcontextprotocol.io/specification/2025-11-25/basic/authorization/security-considerations; https://raw.githubusercontent.com/CycloneDX/specification/master/schema/bom-1.7.schema.json; https://oss.anchore.com/docs/guides/sbom/scan-targets/; https://oss.anchore.com/docs/guides/sbom/formats/; https://oss.anchore.com/docs/guides/vulnerability/scan-targets/; https://oss.anchore.com/docs/reference/grype/data-sources/; https://oss.anchore.com/docs/architecture/grype-db/; https://github.com/ossf/scorecard/blob/main/docs/probes.md; https://github.com/bytecodealliance/wasmtime/blob/main/docs/WASI-capabilities.md	sources/ncsc-guidelines-secure-ai-system-development.pdf; sources/cyclonedx-authoritative-guide-ai-ml-bom.pdf; sources/spdx-3.0.1-specification.pdf	provenance/cyclonedx-spdx.md; provenance/nsa-cisa-ncsc.md; provenance/owasp-agentic-agentdojo.md; provenance/protocol-runtime.md; provenance/supply-chain-runtime.md	NSA and OWASP AIUC direct download sources require manual provenance due access constraints; NCSC, OWASP resource pages, AgentDojo/Dyn, CycloneDX/SPDX, supply-chain, MCP, and Wasmtime families are represented.	represented_no_none
claim	Q29	Localhost UI event/session protection references	private_plan_anchor	14, 24, 801		yes	adequate_primary_urls	ag-ui-events; ag-ui-interrupts; ag-ui-core-events-reference; ag-ui-core-types-reference	primary_url_confirmed	https://docs.ag-ui.com/concepts/events; https://docs.ag-ui.com/concepts/interrupts; https://docs.ag-ui.com/sdk/js/core/events; https://docs.ag-ui.com/sdk/js/core/types		provenance/protocol-runtime.md	AG-UI supports event vocabulary only; session-security mechanics remain future implementation requirements.	represented_no_none
claim	Q37	presentation_document_pack second production domain	private_plan_anchor	6, 14, 16, 32, 747-763, 818-827, 868, 897		yes	adequate_with_watch_item	pptagent-paper; pptagent-repo; presentbench-homepage; presentbench-repo; slidesgen-bench-paper; slidesgen-bench-repo; unipptbench-paper; python-pptx-docs; python-pptx-repo; pptxgenjs-docs; python-docx-docs; openxml-sdk-docs; presentbench-dataset; presentbench-paper; slides-align-dataset; python-pptx-presentation-api; python-pptx-slides-api; python-docx-table-api; pptxgenjs-charts; pptxgenjs-masters; openxml-presentation-structure; openxml-working-with-slides	primary_dataset_confirmed; primary_fallback_confirmed; primary_url_confirmed; watch_item_primary_paper_only	https://arxiv.org/abs/2501.03936; https://github.com/icip-cas/PPTAgent; https://presentbench.github.io/; https://github.com/PresentBench/PresentBench; https://arxiv.org/abs/2601.09487; https://github.com/YunqiaoYang/SlidesGen-Bench; https://arxiv.org/abs/2605.17356; https://python-pptx.readthedocs.io/en/latest/user/quickstart.html; https://github.com/scanny/python-pptx; https://gitbrent.github.io/PptxGenJS/; https://python-docx.readthedocs.io/en/latest/user/quickstart.html; https://learn.microsoft.com/en-us/office/open-xml/open-xml-sdk; https://huggingface.co/datasets/lynnzuo/PresentBench; https://arxiv.org/abs/2603.07244; https://huggingface.co/datasets/Yqy6/Slides-Align; https://python-pptx.readthedocs.io/en/latest/api/presentation.html; https://python-pptx.readthedocs.io/en/latest/api/slides.html; https://python-docx.readthedocs.io/en/latest/api/table.html; https://gitbrent.github.io/PptxGenJS/docs/api-charts/; https://gitbrent.github.io/PptxGenJS/docs/masters/; https://learn.microsoft.com/en-us/office/open-xml/presentation/structure-of-a-presentationml-document; https://learn.microsoft.com/en-us/office/open-xml/presentation/working-with-presentation-slides		provenance/presentation-document-pack.md	Presentation/document pack has benchmark + tooling source coverage; UniPPTBench remains paper-only but non-blocking because other primary sources cover the pack.	represented_no_none
backlog	P0-NSA-MCP	NSA MCP Security Design Considerations press page and PDF	private_plan_anchor	25, R2.12	P0	yes	adequate_manual_provenance_required	nsa-mcp-security-press; nsa-mcp-security-pdf	manual_provenance_required	https://www.nsa.gov/Press-Room/Press-Releases-Statements/Press-Release-View/Article/4496698/nsa-releases-security-design-considerations-for-ai-driven-automation-leveraging/; https://www.nsa.gov/Portals/75/documents/Cybersecurity/CSI_MCP_SECURITY.pdf?ver=bmgiSbNQLP6Z_GiWtRt6bg%3D%3D		provenance/nsa-cisa-ncsc.md	Official NSA URLs are current but not saved as PDFs because CLI/browser download is WAF/403-prone in this environment; do not claim archive success.	represented_no_none
backlog	P0-CLAIM-MATRIX	claim_support_matrix.json/tsv internal evidence artifact	private_plan_anchor	R2.1 table and backlog row	P0	yes	internal_evidence_artifact_mirrored						Created as a public-safe internal evidence matrix at references/manual-deep-research-20260621/claim_support_matrix.json and mirrored to references/claim_support_matrix.json; not an external saved source artifact.	represented_no_none
backlog	P0-HEADER-LOCAL-SAFETY	header/local snapshot safety tooling gap	private_plan_anchor	backlog row	P0	yes	superseded_for_manual_collection_not_external_source						Latest user direction forbids automated collection scripts for this task; manual ledger/card/provenance policy avoids claiming header/local snapshot archive success.	represented_no_none
backlog	P0-PLAN-URL-EXTRACTION	plan direct URL extraction tooling gap	private_plan_anchor	backlog row	P0	yes	manual_ledger_supersedes_automated_extraction						Manual source-ledger rows carry explicit source URLs, support targets, provenance notes, and source cards instead of relying on automated bare-domain extraction.	represented_no_none
backlog	P1-CYCLONEDX-AIBOM	CycloneDX stale ai-bom replacement	private_plan_anchor	54, 117-124	P1	yes	adequate_saved_and_replaced	cyclonedx-mlbom; cyclonedx-aimlbom-guide; cyclonedx-old-ai-bom-404; cyclonedx-bom-1-7-schema; ecma-424-first-edition-pdf	historical_pdf; primary_schema_confirmed; primary_url_confirmed; retired_404_replaced; saved_pdf	https://cyclonedx.org/capabilities/mlbom/; https://cyclonedx.org/guides/OWASP_CycloneDX-Authoritative-Guide-to-AI-ML-BOM-en.pdf; https://cyclonedx.org/capabilities/ai-bom/; https://raw.githubusercontent.com/CycloneDX/specification/master/schema/bom-1.7.schema.json; https://ecma-international.org/wp-content/uploads/ECMA-424_1st_edition_june_2024.pdf	sources/cyclonedx-authoritative-guide-ai-ml-bom.pdf	provenance/cyclonedx-spdx.md	Stale /capabilities/ai-bom URL is represented as retired_404_replaced; current ML-BOM page and saved guide PDF are primary.	represented_no_none
backlog	P1-CISA-NCSC	CISA/NCSC secure AI replacement	private_plan_anchor	25, R2.12	P1	yes	adequate_saved_pdf	cisa-ai-landing; ncsc-secure-ai-collection; ncsc-secure-ai-pdf	primary_url_confirmed; saved_pdf	https://www.cisa.gov/ai; https://www.ncsc.gov.uk/collection/guidelines-secure-ai-system-development; https://www.ncsc.gov.uk/files/Guidelines-for-secure-AI-system-development.pdf	sources/ncsc-guidelines-secure-ai-system-development.pdf	provenance/nsa-cisa-ncsc.md	NCSC secure AI PDF is saved and checksumed; CISA AI landing remains primary URL provenance.	represented_no_none
backlog	P1-PYTHON-PPTX	python-pptx ReadTheDocs and source fallback	private_plan_anchor	47, R2.8	P1	yes	adequate_primary_docs_and_repo_fallback	python-pptx-docs; python-pptx-repo; python-pptx-presentation-api; python-pptx-slides-api	primary_fallback_confirmed; primary_url_confirmed	https://python-pptx.readthedocs.io/en/latest/user/quickstart.html; https://github.com/scanny/python-pptx; https://python-pptx.readthedocs.io/en/latest/api/presentation.html; https://python-pptx.readthedocs.io/en/latest/api/slides.html		provenance/presentation-document-pack.md	ReadTheDocs API pages and GitHub fallback are both represented.	represented_no_none
backlog	P1-OWASP-AIUC	OWASP AIUC crosswalk	private_plan_anchor	48, R2.12	P1	yes	adequate_primary_url_with_manual_download_provenance	owasp-aiuc-crosswalk; owasp-aiuc-crosswalk-download; owasp-agentic-top10-2026	manual_provenance_required; primary_url_confirmed	https://genai.owasp.org/resource/aiuc-1-crosswalks-owasp-top-10-for-agentic-applications/; https://genai.owasp.org/download/54627/?tmstv=1779726713; https://genai.owasp.org/resource/owasp-top-10-for-agentic-applications-for-2026/		provenance/owasp-agentic-agentdojo.md	Primary OWASP resource page is confirmed; direct download endpoint returned No Access HTML in this environment, so no saved PDF is claimed.	represented_no_none
backlog	P1-SUPPLY-RUNTIME	Sigstore/Syft/Grype/SLSA/in-toto/Scorecard/Wasmtime/WASI	private_plan_anchor	R2.10, R2.11, R2.12	P1	yes	adequate_primary_urls_and_saved_standards	cyclonedx-mlbom; cyclonedx-aimlbom-guide; spdx-ai-profile; sigstore-cosign-attestation; slsa-v1-2; intoto-attestation-spec; syft-docs; grype-docs; scorecard-checks; spdx-3-0-1-pdf; openai-codex-skills; openai-tools-skills-api; openai-skills-api-cookbook; otel-genai-repo; otel-genai-readme; cyclonedx-bom-1-7-schema; spdx-3-model-readme; syft-scan-targets; syft-output-formats; grype-scan-targets; grype-data-sources; grype-db-architecture; scorecard-probes; wasmtime-security; wasi-capability-model; wasmtime-wasi-capabilities	development_status_primary; primary_model_repo_confirmed; primary_schema_confirmed; primary_url_confirmed; saved_pdf	https://cyclonedx.org/capabilities/mlbom/; https://cyclonedx.org/guides/OWASP_CycloneDX-Authoritative-Guide-to-AI-ML-BOM-en.pdf; https://spdx.dev/learn/areas-of-interest/ai/; https://docs.sigstore.dev/cosign/verifying/attestation/; https://slsa.dev/spec/v1.2/; https://github.com/in-toto/attestation/blob/main/spec/README.md; https://oss.anchore.com/docs/guides/sbom/getting-started/; https://oss.anchore.com/docs/guides/vulnerability/getting-started/; https://github.com/ossf/scorecard/blob/main/docs/checks.md; https://spdx.dev/wp-content/uploads/sites/31/2024/12/SPDX-3.0.1-1.pdf; https://developers.openai.com/codex/skills; https://developers.openai.com/api/docs/guides/tools-skills; https://developers.openai.com/cookbook/examples/skills_in_api; https://github.com/open-telemetry/semantic-conventions-genai; https://github.com/open-telemetry/semantic-conventions-genai/blob/main/docs/gen-ai/README.md; https://raw.githubusercontent.com/CycloneDX/specification/master/schema/bom-1.7.schema.json; https://raw.githubusercontent.com/spdx/spdx-3-model/develop/README.md; https://oss.anchore.com/docs/guides/sbom/scan-targets/; https://oss.anchore.com/docs/guides/sbom/formats/; https://oss.anchore.com/docs/guides/vulnerability/scan-targets/; https://oss.anchore.com/docs/reference/grype/data-sources/; https://oss.anchore.com/docs/architecture/grype-db/; https://github.com/ossf/scorecard/blob/main/docs/probes.md; https://docs.wasmtime.dev/security.html; https://wasi.dev/; https://github.com/bytecodealliance/wasmtime/blob/main/docs/WASI-capabilities.md	sources/cyclonedx-authoritative-guide-ai-ml-bom.pdf; sources/spdx-3.0.1-specification.pdf	provenance/cyclonedx-spdx.md; provenance/protocol-runtime.md; provenance/supply-chain-runtime.md	All required source families now have official primary URLs and source cards.	represented_no_none
